#{"t_start": 1604002261.5961463, "env_id": "uwrt-arm-v0"}
r,l,t
1806.025988,800,2.186292
482.23857,800,2.465199
1757.515159,800,2.727538
-2546.466511,800,2.987885
-1766.684249,800,3.248268
5070.887077,800,3.510059
2730.452025,800,3.772305
901.632521,800,4.032437
3135.326195,800,4.29395
4555.528241,800,4.554149
735.866761,800,4.818585
-6938.081294,800,5.079949
1588.547039,800,5.350799
4490.539727,800,5.615728
-1231.797874,800,5.875152
4488.709879,800,6.136004
-4472.985813,800,6.395622
